Time in s	CH I in Volt	CH II in Volt	
0.E+0	1.04E-03	3.32E-02	
1.E-7	1.12E-03	3.32E-02	
2.E-7	1.04E-03	3.32E-02	
3.E-7	1.04E-03	3.32E-02	
4.E-7	1.04E-03	3.32E-02	
5.E-7	1.04E-03	3.32E-02	
6.E-7	1.04E-03	3.32E-02	
7.E-7	1.04E-03	3.32E-02	
8.E-7	1.04E-03	3.32E-02	
9.E-7	1.04E-03	3.32E-02	
1.E-6	9.60E-04	3.32E-02	
1.1E-6	9.60E-04	3.32E-02	
1.2E-6	9.60E-04	3.32E-02	
1.3E-6	9.60E-04	3.32E-02	
1.4E-6	9.60E-04	3.32E-02	
1.5E-6	9.60E-04	3.32E-02	
1.6E-6	9.60E-04	3.32E-02	
1.7E-6	9.60E-04	3.32E-02	
1.8E-6	8.80E-04	3.32E-02	
1.9E-6	8.80E-04	3.28E-02	
2.E-6	8.80E-04	3.36E-02	
2.1E-6	9.60E-04	3.32E-02	
2.2E-6	1.04E-03	3.32E-02	
2.3E-6	1.04E-03	3.32E-02	
2.4E-6	9.60E-04	3.32E-02	
2.5E-6	9.60E-04	3.32E-02	
2.6E-6	9.60E-04	3.32E-02	
2.7E-6	1.04E-03	3.32E-02	
2.8E-6	1.04E-03	3.32E-02	
2.9E-6	1.12E-03	3.32E-02	
3.E-6	1.12E-03	3.32E-02	
3.1E-6	1.04E-03	3.32E-02	
3.2E-6	1.04E-03	3.32E-02	
3.3E-6	9.60E-04	3.32E-02	
3.4E-6	1.04E-03	3.32E-02	
3.5E-6	1.04E-03	3.32E-02	
3.6E-6	1.12E-03	3.32E-02	
3.7E-6	1.12E-03	3.32E-02	
3.8E-6	1.04E-03	3.32E-02	
3.9E-6	1.04E-03	3.32E-02	
4.E-6	9.60E-04	3.28E-02	
4.1E-6	1.04E-03	3.32E-02	
4.2E-6	1.04E-03	3.32E-02	
4.3E-6	1.12E-03	3.32E-02	
4.4E-6	1.12E-03	3.32E-02	
4.5E-6	1.12E-03	3.32E-02	
4.6E-6	1.04E-03	3.32E-02	
4.7E-6	1.04E-03	3.32E-02	
4.8E-6	9.60E-04	3.32E-02	
4.9E-6	1.04E-03	3.28E-02	
5.E-6	1.12E-03	3.32E-02	
5.1E-6	1.20E-03	3.32E-02	
5.2E-6	1.20E-03	3.28E-02	
5.3E-6	1.20E-03	3.32E-02	
5.4E-6	1.12E-03	3.32E-02	
5.5E-6	1.04E-03	3.28E-02	
5.6E-6	9.60E-04	3.32E-02	
5.7E-6	1.04E-03	3.32E-02	
5.8E-6	1.12E-03	3.32E-02	
5.9E-6	1.20E-03	3.28E-02	
6.E-6	1.20E-03	3.32E-02	
6.1E-6	1.12E-03	3.32E-02	
6.2E-6	1.04E-03	3.32E-02	
6.3E-6	1.04E-03	3.32E-02	
6.4E-6	9.60E-04	3.32E-02	
6.5E-6	1.04E-03	3.36E-02	
6.6E-6	1.04E-03	3.32E-02	
6.7E-6	1.12E-03	3.32E-02	
6.8E-6	1.04E-03	3.32E-02	
6.9E-6	1.04E-03	3.28E-02	
7.E-6	1.04E-03	3.32E-02	
7.1E-6	1.12E-03	3.32E-02	
